NAME,DriveAlone,Carpool,Bus,Subway,LongDistanceRail,LightRail,Ferry,Taxi,Motorcycle,Bicycle,Walked,Other,WorkFromHome
Oregon,0.7153037278630167,0.09470452534131475,0.03260264301411,0.0022969761452563964,0.0017635009496156792,0.009756182445533824,0.00026748336929609116,0.0007900205832927302,0.0018962482722960812,0.019466127059572225,0.037795698390127974,0.010476597691091511,0.07288026887547605
Pennsylvania,0.7519640903831952,0.08419229498812847,0.03465085112336502,0.010659372795481003,0.00894827359914576,0.0029120891836618107,5.194957363318001e-05,0.0017465414288139523,0.0007729319740562859,0.004501325361474358,0.036455006409541635,0.009168209644527355,0.0539770635349759
Rhode Island,0.7960416286424131,0.08176176765287613,0.019709910641452087,0.0013949469026219043,0.009014076113070783,9.498303342285329e-05,0.00046932792985409863,0.001471305811844198,0.00037806972127135723,0.002711672483601459,0.032765421706044275,0.009064361248412294,0.04512252811311548
South Carolina,0.8205045343972966,0.08637916586089087,0.005232029503268905,0.00013570960857956144,2.8414199296345678e-05,0.0003838037367640722,8.821124557671494e-05,0.001444035053791896,0.0007620942706795998,0.0022837382568779326,0.0204891822478261,0.01101962021666039,0.051249461402490946
South Dakota,0.7975357336468509,0.08958230618386738,0.0035203805044986356,0.0,0.0,0.0,0.0,0.001064145437671641,0.0020435161863883084,0.0038103991772393347,0.03218761084848309,0.00914228092993372,0.061113627085066936
Tennessee,0.8200917693011771,0.08895732063594748,0.005546873107214899,9.030305642808305e-05,0.00038575451979383214,0.00011830644326466631,2.705945244883325e-05,0.0018186469203983278,0.0008048613879548308,0.0012330929551974128,0.014063678443087207,0.010458478371474051,0.05640385540561332
Texas,0.8014305506636531,0.09703945989410744,0.011147000319408526,0.0004919809941355254,0.0006456703740462674,0.0009475081505313111,4.753580441262041e-05,0.001262469308602661,0.001197071123697568,0.0022663350922796093,0.015411443165878742,0.010988936478969015,0.057124038630277665
Utah,0.7611680072948359,0.10362620028214445,0.01281648107523052,0.0009787911739558193,0.00578118270810679,0.005055614283025993,6.630520855829743e-05,0.0011328718490817675,0.002546751486815367,0.0054067161492965966,0.020471259533741775,0.0066519911138390965,0.07429782784136763
Vermont,0.7618676010635345,0.08550224859809624,0.015058512902449707,0.001363347542581477,0.0,0.0,0.0,0.0008297296130190437,0.0005675473932918365,0.005027729625357031,0.05311503322002949,0.0063139647503716815,0.07035428529126903
Virginia,0.7663250241855663,0.08992556996851682,0.01955279536680976,0.019565610454875045,0.0038319443331214574,0.0004366450006244443,0.0001456260007418771,0.003548847387679248,0.0013441862372478223,0.0034978200370192943,0.023173640249255792,0.011068974065989782,0.05758331671255245
Washington,0.7091680660375965,0.09951910695204255,0.058371559232665814,0.0009111912166859978,0.003483097577488179,0.004952067797138166,0.003366815291362321,0.0011544978015128513,0.002509871238180765,0.00874480388710467,0.03484198633777131,0.00786798711065911,0.06510894951979175
West Virginia,0.8198729799890797,0.09036320169250538,0.006152574543175446,0.0011070802503178236,0.0004953807794994465,0.0,0.00014505625035066664,0.0006760168648417861,0.0006705430440738364,0.0012521365006684904,0.02902082925647724,0.011017432750690727,0.03922676807831943
Wisconsin,0.8075500400239096,0.07992651414217561,0.016154859585177265,0.00016556957115115793,0.000540297437287146,4.5616106337563915e-05,2.1963310458827072e-05,0.0013806474851502679,0.0008994820375599641,0.006167635473922624,0.029604853013078983,0.006576490945540789,0.05096603086825021
Wyoming,0.7691418840844129,0.11513570945619628,0.011558646447084582,0.0,0.0,0.0,7.154841502373619e-05,0.0,0.001556178026766262,0.010431758910460736,0.029524453459544738,0.005316047236263599,0.057263773964247255
Puerto Rico,0.8426917959351669,0.07727465144676113,0.0058736634433863115,0.0014439748511786922,0.0,0.00384114907940493,0.0006999905168882488,0.002324828839609296,0.0006335109705915995,0.0014977450724480408,0.027974202025475355,0.011409063312969083,0.02433542450612052
